Customer Name,Email,Last Order Date,Total Order Value,Last 3 Items Ordered,
Mark Carter,udit.jain+MIStest@solarsales.in,20/05/25,139445,"Orange Crush, Strawberry Crush, Green Apple Syrup",
Phillip Jones,udit.jain+MIStest@solarsales.in,01-04-25,56894,"Soda Base, Blueberry Syrup, Strawberry Crush",
Nathan Walker,udit.jain+MIStest@solarsales.in,14/03/25,218215,"Choco Sauce, Chocolate Frappe, Mint Mojito",
Shannon Schultz,udit.jain+MIStest@solarsales.in,11-06-25,207729,"Green Apple Syrup, Lemon Juice, Mango Crush",
Wendy Jackson,udit.jain+MIStest@solarsales.in,10-02-25,69495,"Kiwi Crush, Cola Base, Orange Crush",
Arthur Martin,udit.jain+MIStest@solarsales.in,07-06-25,245096,"Vanilla Frappe, Cola Base, Mango Crush",
Lauren Hart,udit.jain+MIStest@solarsales.in,22/03/25,164297,"Mint Mojito, Vanilla Frappe, Soda Base",
Richard Waller,udit.jain+MIStest@solarsales.in,21/05/25,145181,"Choco Sauce, Mango Crush, Vanilla Frappe",
Paige Phillips,udit.jain+MIStest@solarsales.in,29/04/25,151671,"Green Apple Syrup, Mango Crush, Orange Crush",
Daniel Espinoza,udit.jain+MIStest@solarsales.in,17/02/25,206063,"Cola Base, Watermelon Syrup, Green Apple Syrup",
Mary Fox,udit.jain+MIStest@solarsales.in,12-05-25,108912,"Choco Sauce, Chocolate Frappe, Cola Base",
James Fleming,udit.jain+MIStest@solarsales.in,20/04/25,249609,"Choco Sauce, Strawberry Crush, Blueberry Syrup",
Kimberly Morrison,udit.jain+MIStest@solarsales.in,10-02-25,101570,"Lime Juice, Choco Sauce, Lemon Juice",
Holly Poole,udit.jain+MIStest@solarsales.in,02-04-25,182066,"Chocolate Frappe, Lemon Juice, Soda Base",
Kathy Velasquez,udit.jain+MIStest@solarsales.in,23/03/25,75599,"Green Apple Syrup, Kiwi Crush, Mango Crush",
Jessica Johnson,udit.jain+MIStest@solarsales.in,19/03/25,63089,"Mint Mojito, Vanilla Frappe, Mango Crush",
Michael Dean,udit.jain+MIStest@solarsales.in,15/05/25,168364,"Cola Base, Kiwi Crush, Chocolate Frappe",
Angela Pena,udit.jain+MIStest@solarsales.in,16/03/25,243241,"Soda Base, Lime Juice, Mint Mojito",
Evan Carlson,udit.jain+MIStest@solarsales.in,29/03/25,69488,"Kiwi Crush, Vanilla Frappe, Mango Crush",
Elizabeth Friedman,udit.jain+MIStest@solarsales.in,31/01/25,129354,"Lemon Juice, Watermelon Syrup, Mint Mojito",
Cassandra Alexander,udit.jain+MIStest@solarsales.in,07-04-25,193036,"Lime Juice, Green Apple Syrup, Cola Base",
Crystal Perez,udit.jain+MIStest@solarsales.in,27/01/25,126574,"Kiwi Crush, Vanilla Frappe, Strawberry Crush",
Roberto Mills,udit.jain+MIStest@solarsales.in,23/02/25,236001,"Strawberry Crush, Chocolate Frappe, Kiwi Crush",
Nicole Wang,udit.jain+MIStest@solarsales.in,14/04/25,140159,"Soda Base, Lime Juice, Blueberry Syrup",
Tina Ford,udit.jain+MIStest@solarsales.in,06-05-25,95913,"Lime Juice, Blueberry Syrup, Cola Base",
Danielle Powell,udit.jain+MIStest@solarsales.in,24/01/25,109787,"Soda Base, Choco Sauce, Mango Crush",
Roberta Fuller,udit.jain+MIStest@solarsales.in,07-02-25,107834,"Lime Juice, Mint Mojito, Cola Base",
Kimberly Guzman,udit.jain+MIStest@solarsales.in,03-03-25,110027,"Kiwi Crush, Vanilla Frappe, Orange Crush",
Christopher Petersen DDS,udit.jain+MIStest@solarsales.in,02-06-25,144493,"Kiwi Crush, Lemon Juice, Orange Crush",
David Thompson,udit.jain+MIStest@solarsales.in,16/04/25,69719,"Choco Sauce, Cola Base, Watermelon Syrup",
Michael Smith,udit.jain+MIStest@solarsales.in,08-03-25,58839,"Cola Base, Mango Crush, Kiwi Crush",
Dylan Diaz,udit.jain+MIStest@solarsales.in,02-05-25,115644,"Mint Mojito, Mango Crush, Choco Sauce",
Emma Kelly,udit.jain+MIStest@solarsales.in,18/05/25,119771,"Cola Base, Watermelon Syrup, Lemon Juice",
Melissa Wilkins,udit.jain+MIStest@solarsales.in,01-03-25,52230,"Watermelon Syrup, Strawberry Crush, Mint Mojito",
Trevor Wu,udit.jain+MIStest@solarsales.in,03-04-25,222753,"Mint Mojito, Lemon Juice, Strawberry Crush",
Valerie Clark,udit.jain+MIStest@solarsales.in,01-04-25,54135,"Blueberry Syrup, Cola Base, Mint Mojito",
Jacob Fields,udit.jain+MIStest@solarsales.in,20/03/25,123092,"Vanilla Frappe, Choco Sauce, Mint Mojito",
Tanner Robbins,udit.jain+MIStest@solarsales.in,11-06-25,65026,"Choco Sauce, Lime Juice, Strawberry Crush",
Matthew Hall,udit.jain+MIStest@solarsales.in,17/02/25,222625,"Kiwi Crush, Cola Base, Orange Crush",
Jeffrey Cruz,udit.jain+MIStest@solarsales.in,30/04/25,241337,"Mint Mojito, Orange Crush, Mango Crush",
Taylor Boyd,udit.jain+MIStest@solarsales.in,18/03/25,160119,"Lime Juice, Cola Base, Vanilla Frappe",
Katrina Perez,udit.jain+MIStest@solarsales.in,14/03/25,77872,"Lemon Juice, Mango Crush, Vanilla Frappe",
Mrs. Ruth Riggs,udit.jain+MIStest@solarsales.in,31/05/25,172388,"Chocolate Frappe, Blueberry Syrup, Cola Base",
Cody Morse,udit.jain+MIStest@solarsales.in,10-04-25,105159,"Watermelon Syrup, Chocolate Frappe, Choco Sauce",
Virginia Peterson,udit.jain+MIStest@solarsales.in,22/04/25,148620,"Mint Mojito, Mango Crush, Blueberry Syrup",
Paige Wong,udit.jain+MIStest@solarsales.in,12-04-25,91153,"Vanilla Frappe, Choco Sauce, Soda Base",
Tiffany Rogers,udit.jain+MIStest@solarsales.in,15/03/25,192488,"Kiwi Crush, Lemon Juice, Choco Sauce",
Alicia Morse,udit.jain+MIStest@solarsales.in,01-06-25,80267,"Soda Base, Chocolate Frappe, Green Apple Syrup",
Mark Stein,udit.jain+MIStest@solarsales.in,14/04/25,98122,"Soda Base, Lemon Juice, Chocolate Frappe",
Amy Hernandez,udit.jain+MIStest@solarsales.in,25/02/25,147190,"Choco Sauce, Orange Crush, Lemon Juice",
Renee Harris,udit.jain+MIStest@solarsales.in,21/04/25,101224,"Lime Juice, Mint Mojito, Chocolate Frappe",
Dr. Corey Cooper MD,udit.jain+MIStest@solarsales.in,10-04-25,229963,"Chocolate Frappe, Lemon Juice, Vanilla Frappe",
Deborah Leon,udit.jain+MIStest@solarsales.in,18/05/25,200494,"Lime Juice, Watermelon Syrup, Vanilla Frappe",
Michael Butler,udit.jain+MIStest@solarsales.in,27/02/25,153337,"Watermelon Syrup, Vanilla Frappe, Strawberry Crush",
Jimmy Tucker,udit.jain+MIStest@solarsales.in,11-02-25,134383,"Kiwi Crush, Blueberry Syrup, Choco Sauce",
Debra Santana,udit.jain+MIStest@solarsales.in,05-04-25,80648,"Mango Crush, Lemon Juice, Blueberry Syrup",
Brandon Hogan,udit.jain+MIStest@solarsales.in,23/02/25,171079,"Lime Juice, Mango Crush, Kiwi Crush",
Marvin Carroll,udit.jain+MIStest@solarsales.in,09-06-25,213328,"Lemon Juice, Blueberry Syrup, Green Apple Syrup",
Jacob Keller,udit.jain+MIStest@solarsales.in,04-05-25,156978,"Green Apple Syrup, Soda Base, Mint Mojito",
Henry Reese,udit.jain+MIStest@solarsales.in,17/03/25,247955,"Strawberry Crush, Orange Crush, Vanilla Frappe",
Sharon Carter,udit.jain+MIStest@solarsales.in,16/05/25,94225,"Green Apple Syrup, Lime Juice, Mango Crush",
Heather Thomas,udit.jain+MIStest@solarsales.in,30/04/25,186088,"Mint Mojito, Lemon Juice, Blueberry Syrup",
Meghan Perez,udit.jain+MIStest@solarsales.in,05-06-25,116273,"Kiwi Crush, Mint Mojito, Chocolate Frappe",
Michael Sims,udit.jain+MIStest@solarsales.in,24/03/25,139774,"Orange Crush, Kiwi Crush, Watermelon Syrup",
Mr. Matthew Thompson,udit.jain+MIStest@solarsales.in,31/03/25,96522,"Mint Mojito, Chocolate Frappe, Lime Juice",
Bradley Frost,udit.jain+MIStest@solarsales.in,05-05-25,134117,"Orange Crush, Lime Juice, Mint Mojito",
Ms. Cindy Moore MD,udit.jain+MIStest@solarsales.in,11-06-25,150549,"Kiwi Crush, Watermelon Syrup, Blueberry Syrup",
Jeremiah Hansen,udit.jain+MIStest@solarsales.in,17/05/25,65379,"Choco Sauce, Kiwi Crush, Mint Mojito",
Melinda White,udit.jain+MIStest@solarsales.in,20/04/25,135324,"Cola Base, Lime Juice, Blueberry Syrup",
Lisa Page,udit.jain+MIStest@solarsales.in,02-03-25,248947,"Strawberry Crush, Orange Crush, Blueberry Syrup",
Virginia Taylor,udit.jain+MIStest@solarsales.in,03-04-25,67896,"Soda Base, Mango Crush, Cola Base",
Brian Adkins,udit.jain+MIStest@solarsales.in,27/03/25,61560,"Blueberry Syrup, Mint Mojito, Green Apple Syrup",
Ryan Greer,udit.jain+MIStest@solarsales.in,21/04/25,140268,"Blueberry Syrup, Lime Juice, Choco Sauce",
Michael Santos,udit.jain+MIStest@solarsales.in,12-06-25,224758,"Vanilla Frappe, Mango Crush, Lime Juice",
Amy Smith,udit.jain+MIStest@solarsales.in,11-05-25,207732,"Watermelon Syrup, Vanilla Frappe, Mango Crush",
Christine Lopez,udit.jain+MIStest@solarsales.in,02-02-25,181560,"Cola Base, Orange Crush, Mango Crush",
Michael Glass,udit.jain+MIStest@solarsales.in,15/05/25,162457,"Blueberry Syrup, Vanilla Frappe, Strawberry Crush",
Christopher Valenzuela,udit.jain+MIStest@solarsales.in,20/03/25,68892,"Mango Crush, Chocolate Frappe, Watermelon Syrup",
Kyle Montgomery Jr.,udit.jain+MIStest@solarsales.in,27/02/25,75154,"Choco Sauce, Kiwi Crush, Mango Crush",
Edward Hayes,udit.jain+MIStest@solarsales.in,06-05-25,55004,"Vanilla Frappe, Kiwi Crush, Strawberry Crush",
Lauren Hensley,udit.jain+MIStest@solarsales.in,26/02/25,173009,"Choco Sauce, Orange Crush, Green Apple Syrup",
Anthony Taylor,udit.jain+MIStest@solarsales.in,31/01/25,241684,"Kiwi Crush, Choco Sauce, Watermelon Syrup",
Jeremy White,udit.jain+MIStest@solarsales.in,10-03-25,87350,"Soda Base, Strawberry Crush, Kiwi Crush",
Christopher Howard,udit.jain+MIStest@solarsales.in,20/05/25,69719,"Mango Crush, Kiwi Crush, Choco Sauce",
Bill Jordan,udit.jain+MIStest@solarsales.in,06-03-25,104005,"Mango Crush, Green Apple Syrup, Chocolate Frappe",
Christopher Black,udit.jain+MIStest@solarsales.in,28/01/25,119963,"Watermelon Syrup, Vanilla Frappe, Cola Base",
Robert Charles,udit.jain+MIStest@solarsales.in,29/03/25,53297,"Vanilla Frappe, Strawberry Crush, Mint Mojito",
Joseph Garcia,udit.jain+MIStest@solarsales.in,16/02/25,233933,"Strawberry Crush, Mango Crush, Watermelon Syrup",
Susan Khan,udit.jain+MIStest@solarsales.in,14/03/25,59960,"Lime Juice, Cola Base, Kiwi Crush",
Mark Rodriguez,udit.jain+MIStest@solarsales.in,22/01/25,247710,"Mint Mojito, Vanilla Frappe, Strawberry Crush",
